video_id,label,modality,unsure_a,unsure_v,comment
-FoTxwPOz3U_000000,people gargling,AV,False,False,
-FoTxwPOz3U_000000,people running,AV,False,False,
-GW1J75oAKU_000304,"playing violin, fiddle",AV,False,False,
-Gr9P8Abnlk_000110,"male speech, man speaking",AV,False,False,
-Gr9P8Abnlk_000110,sliding door,AV,False,False,
-Gr9P8Abnlk_000110,toilet flushing,A,False,False,
-HAoExLVs6Q_000380,people crowd,AV,False,False,
-HAoExLVs6Q_000380,"railroad car, train wagon",AV,False,False,
-HAoExLVs6Q_000380,train horning,AV,False,False,
-HAoExLVs6Q_000380,train wheels squealing,AV,False,False,
-HAoExLVs6Q_000380,train whistling,AV,False,False,
-HMEhGV38GM_000216,male singing,AV,False,False,
-HMEhGV38GM_000216,playing congas,AV,False,False,
-JBH9j7-h8U_000030,bird squawking,AV,False,False,
-JBH9j7-h8U_000030,cap gun shooting,AV,False,False,
-JBH9j7-h8U_000030,duck quacking,AV,False,False,
-JGpAlLrSD0_000458,railroad car  train wagon,AV,False,False,
-JGpAlLrSD0_000458,train wheels squealing,AV,False,False,
-JGpAlLrSD0_000458,train whistling,AV,False,False,
-JUhUI_KvUI_000026,gibbon howling,AV,False,False,
-JzMCtGCh4o_000000,male speech  man speaking,A,False,False,
-KBH8YmHR-0_000050,chipmunk chirping,AV,False,False,
-KBH8YmHR-0_000050,"male speech, man speaking",A,False,False,
-KBH8YmHR-0_000050,snake hissing,AV,False,False,
-KBH8YmHR-0_000050,snake rattling,AV,False,False,
-KqXcm-I2zY_000162,playing tennis,AV,False,False,
-Lv13WPa4xk_000170,airplane,AV,False,False,
-Lv13WPa4xk_000170,airplane flyby,AV,False,False,
-Lv13WPa4xk_000170,engine accelerating  revving  vroom,AV,False,False,
-Lv13WPa4xk_000170,"male speech, man speaking",A,False,False,
-Lv13WPa4xk_000170,wind noise,A,False,False,
-M7ZNV6gLo0_000310,"female speech, woman speaking",AV,False,False,
-M7ZNV6gLo0_000310,railroad car  train wagon,A,False,False,
-M7ZNV6gLo0_000310,subway  metro  underground,A,False,False,
-PyXfNxnHKs_000110,baby babbling,AV,False,False,
-PyXfNxnHKs_000110,"child speech, kid speaking",A,False,False,
-PyXfNxnHKs_000110,"female speech, woman speaking",A,False,False,
-PyXfNxnHKs_000110,"male speech, man speaking",A,False,False,
-PyXfNxnHKs_000110,opening or closing drawers,AV,False,False,
-PyXfNxnHKs_000110,owl hooting,A,False,False,
-RUIfdLiXdk_000045,heart sounds  heartbeat,AV,False,False,
-UKH_6moRZc_000180,baby babbling,A,False,False,
-UKH_6moRZc_000180,"child speech, kid speaking",A,False,False,
-UKH_6moRZc_000180,"male speech, man speaking",AV,False,False,
-UKH_6moRZc_000180,people babbling,AV,False,False,
-UKH_6moRZc_000180,sloshing water,AV,False,False,
-UKH_6moRZc_000180,splashing water,AV,False,False,
-UKH_6moRZc_000180,toilet flushing,AV,False,False,
-V9U5F14AVY_000040,air conditioning noise,AV,False,False,
-V9U5F14AVY_000040,"male speech, man speaking",A,False,False,
-V9U5F14AVY_000040,pumping water,AV,False,False,
-V9U5F14AVY_000040,splashing water,AV,False,False,
-VLOm8cJZRI_000070,eating with cutlery,AV,False,False,
-VLOm8cJZRI_000070,people eating,AV,False,False,
-VLOm8cJZRI_000070,ripping paper,A,False,False,
-W3WpZvJX2o_000027,lathe spinning,AV,False,False,
-W3WpZvJX2o_000027,running electric fan,AV,False,False,
-Y8sJDoL1YA_000015,alarm clock ringing,AV,False,False,
-Y8sJDoL1YA_000015,playing gong,A,False,False,
-Y8sJDoL1YA_000015,reversing beeps,A,False,False,
-c6baaENcjA_000204,sea lion barking,AV,False,False,
-c6baaENcjA_000204,sea waves,AV,False,False,
-c6baaENcjA_000204,sloshing water,AV,False,False,
-c6baaENcjA_000204,splashing water,AV,False,False,
-c6baaENcjA_000204,swimming,AV,False,False,
-cm0voL_GRM_000322,"male speech, man speaking",AV,False,False,
-crF-0Z7l3o_000447,playing bassoon,AV,False,False,
-crF-0Z7l3o_000447,playing piano,AV,False,False,
-fAVezaAX18_000126,playing bass drum,AV,False,False,
-fAVezaAX18_000126,playing cymbal,AV,False,False,
-fAVezaAX18_000126,playing drum kit,AV,False,False,
-fAVezaAX18_000126,playing snare drum,AV,False,False,
-fJsZm3YRc0_000030,car engine idling,A,False,False,
-fJsZm3YRc0_000030,engine accelerating  revving  vroom,AV,False,False,
-fJsZm3YRc0_000030,reversing beeps,A,False,False,
-fmmdkXn5YA_000210,bird squawking,A,False,False,
-fmmdkXn5YA_000210,"child speech, kid speaking",AV,False,False,
-fmmdkXn5YA_000210,"female speech, woman speaking",AV,False,False,
-fmmdkXn5YA_000210,"male speech, man speaking",AV,False,False,
-fmmdkXn5YA_000210,people crowd,AV,False,False,
-gAzofSmRiY_000021,"male speech, man speaking",A,False,False,
-gAzofSmRiY_000021,people eating crisps,A,False,False,
-gAzofSmRiY_000021,people giggling,A,False,False,
-gz_moHFwl4_000016,"bird chirping, tweeting",A,False,False,
-gz_moHFwl4_000016,horse clip-clop,AV,False,False,
-gz_moHFwl4_000016,horse neighing,AV,False,False,
-gz_moHFwl4_000016,"male speech, man speaking",AV,False,False,
-hA3ZkfDz30_000500,"male speech, man speaking",A,False,False,
-hA3ZkfDz30_000500,vacuum cleaner cleaning floors,AV,False,False,
-hSwZyPPJTc_000075,"bird chirping, tweeting",A,False,False,
-hSwZyPPJTc_000075,dog howling,A,False,False,
-hSwZyPPJTc_000075,dog whimpering,A,False,False,
-hSwZyPPJTc_000075,fox barking,AV,False,False,
-hYRFCQdbLg_000030,car passing by,V,False,False,
-hYRFCQdbLg_000030,playing steelpan,AV,False,False,
-hn5Sfg7kX0_000000,ferret dooking,AV,False,False,
-iF4a6f5PJ8_000060,"bird chirping, tweeting",AV,False,False,
-iF4a6f5PJ8_000060,pheasant crowing,AV,False,False,
-jA7nRwQp_E_000030,orchestra,AV,False,False,
-jA7nRwQp_E_000030,playing clarinet,A,False,False,
-jA7nRwQp_E_000030,playing double bass,AV,False,False,
-jA7nRwQp_E_000030,playing flute,AV,False,False,
-jA7nRwQp_E_000030,playing oboe,AV,False,False,
-jA7nRwQp_E_000030,playing timpani,AV,False,False,
-jA7nRwQp_E_000030,playing tympani,AV,False,False,
-jaY3LS3Dv0_000030,baby babbling,AV,False,False,
-jaY3LS3Dv0_000030,"child speech, kid speaking",AV,False,False,
-jaY3LS3Dv0_000030,children shouting,AV,False,False,
-jaY3LS3Dv0_000030,"female speech, woman speaking",AV,False,False,
-jaY3LS3Dv0_000030,people babbling,AV,False,False,
-jaY3LS3Dv0_000030,people clapping,A,False,False,
-k-hxP5eWko_000030,lawn mowing,A,False,False,
-k-hxP5eWko_000030,"male speech, man speaking",AV,False,False,
-lPXTBXa0tE_000030,playing acoustic guitar,AV,False,False,
-lPXTBXa0tE_000030,"playing marimba, xylophone",A,False,False,
-lPXTBXa0tE_000030,playing piano,A,False,False,
-lPXTBXa0tE_000030,playing shofar,A,False,False,
-lPXTBXa0tE_000030,"playing steel guitar, slide guitar",A,False,False,
-lPXTBXa0tE_000030,tapping guitar,A,False,False,
-mKtgDnG0oM_000030,female singing,AV,False,False,
-mKtgDnG0oM_000030,playing acoustic guitar,AV,False,False,
-mKtgDnG0oM_000030,tapping guitar,A,False,False,
-qxw8nbLj_0_000000,people screaming,A,False,False,
-qxw8nbLj_0_000000,sloshing water,AV,False,False,
-qxw8nbLj_0_000000,splashing water,AV,False,False,
-qxw8nbLj_0_000000,spraying water,AV,False,False,
-rcoSOKo-qM_000566,lathe spinning,AV,False,False,
-rqhMzJRYoc_000030,people belly laughing,A,False,False,
-rqhMzJRYoc_000030,people giggling,A,False,False,
-rqhMzJRYoc_000030,people hiccup,AV,False,False,
-rqhMzJRYoc_000030,people sniggering,A,False,False,
-t-htrAtNvM_000030,car engine idling,A,False,False,
-t-htrAtNvM_000030,"male speech, man speaking",A,False,False,
-t-htrAtNvM_000030,reversing beeps,AV,False,False,
-tm7JvKYFcE_000042,basketball bounce,A,False,False,
-tm7JvKYFcE_000042,bowling impact,A,False,False,
-uD3ZbhFTnk_000077,baltimore oriole calling,AV,False,False,
-uD3ZbhFTnk_000077,"bird chirping, tweeting",AV,False,False,
-uD3ZbhFTnk_000077,cricket chirping,A,False,False,
-uD3ZbhFTnk_000077,warbler chirping,A,False,False,
-uD3ZbhFTnk_000077,wind rustling leaves,AV,False,False,
-uD3ZbhFTnk_000077,wood thrush calling,A,False,False,
-vNGqcDA6oE_000020,underwater bubbling,AV,False,False,
-vNGqcDA6oE_000020,waterfall burbling,A,False,False,
-xQbyezhw_k_000040,cat meowing,V,False,False,
-xQbyezhw_k_000040,hair dryer drying,AV,False,False,
-z3n74RK92U_000006,car engine idling,AV,False,False,
-z3n74RK92U_000006,"female speech, woman speaking",A,False,False,
-z3n74RK92U_000006,raining,AV,False,False,
-ziWHyk_fYQ_000106,"bird chirping, tweeting",A,False,False,
-ziWHyk_fYQ_000106,civil defense siren,A,False,False,
-ziWHyk_fYQ_000106,cricket chirping,A,False,False,
0-EgET9q3qE_000030,playing electronic organ,AV,False,False,
0-EgET9q3qE_000030,playing hammond organ,AV,False,False,
0-jDld11jhw_000164,playing trumpet,AV,False,False,
0-o0oZvSFOk_000030,"male speech, man speaking",A,False,False,
0-o0oZvSFOk_000030,sheep bleating,AV,False,False,
007P6bFgRCU_000010,playing double bass,AV,False,False,
007P6bFgRCU_000010,playing drum kit,AV,False,False,
007P6bFgRCU_000010,playing piano,AV,False,False,
007P6bFgRCU_000010,playing saxophone,V,False,False,
007P6bFgRCU_000010,playing trumpet,AV,False,False,
00KM53yZi2A_000030,printer printing,AV,False,False,
00gxEsWO4mo_000259,lip smacking,AV,False,False,
00gxEsWO4mo_000259,people eating,AV,False,False,
014Rnl2xIZg_000483,squishing water,AV,False,False,
01kxsUBtBZY_000100,car engine idling,A,False,False,
01kxsUBtBZY_000100,"ice cream truck, ice cream van",AV,False,False,
01kxsUBtBZY_000100,"male speech, man speaking",AV,False,False,
0474eRAlFLY_000030,playing bagpipes,AV,False,False,
0474eRAlFLY_000030,playing snare drum,AV,False,False,
04L5PnWm3SQ_000053,dog whimpering,AV,False,False,
04L5PnWm3SQ_000053,"female speech, woman speaking",A,False,False,
04QV0Xi5YTk_000030,playing zither,AV,False,False,
067izxXJJu4_000020,"male speech, man speaking",A,False,False,
067izxXJJu4_000020,"vehicle horn, car horn, honking",A,False,False,
06si40RVDco_000030,car engine idling,A,False,False,
06si40RVDco_000030,car engine starting,A,False,False,
06si40RVDco_000030,driving motorcycle,AV,False,False,
06si40RVDco_000030,"engine accelerating, revving, vroom",A,False,False,
07FxCXxknY4_000030,playing acoustic guitar,AV,False,False,
07bi-w2VKeg_000035,footsteps on snow,A,False,False,
09LqFbgwszg_000155,"heart sounds, heartbeat",AV,False,False,
09kqMqn5rWs_000260,baby laughter,AV,False,False,
09kqMqn5rWs_000260,bouncing on trampoline,AV,False,False,
09kqMqn5rWs_000260,"child speech, kid speaking",A,False,False,
09kqMqn5rWs_000260,children shouting,A,False,False,
09kqMqn5rWs_000260,cricket chirping,A,False,False,
09kqMqn5rWs_000260,people giggling,A,False,False,
09kqMqn5rWs_000260,sliding door,V,False,False,
0BauNGmZtTU_000250,raining,A,False,False,
0BauNGmZtTU_000250,thunder,A,False,False,
0BauNGmZtTU_000250,wind noise,A,False,False,
0CA5CPHRXDc_000000,firing muskets,AV,False,False,
0CA5CPHRXDc_000000,"fly, housefly buzzing",AV,False,False,
0CA5CPHRXDc_000000,machine gun shooting,AV,False,False,
0CA5CPHRXDc_000000,"male speech, man speaking",A,False,False,
0CA5CPHRXDc_000000,mosquito buzzing,A,False,False,
0CA5CPHRXDc_000000,people sniggering,A,False,False,
0CTgEP0SIVg_000010,"bird chirping, tweeting",A,False,False,
0CTgEP0SIVg_000010,bird squawking,A,False,False,
0CTgEP0SIVg_000010,chicken crowing,A,False,False,
0CTgEP0SIVg_000010,lip smacking,A,False,False,
0Cl6hXpryhY_000030,people screaming,A,False,False,
0FEd3Pd-ksw_000397,car engine idling,A,False,False,
0FEd3Pd-ksw_000397,car engine starting,A,False,False,
0FEd3Pd-ksw_000397,"male speech, man speaking",A,False,False,
0HBJuYt2Eys_000032,disc scratching,AV,False,False,
0IzhjqyDzt8_000000,church bell ringing,A,False,False,
0JkiTl-4B5E_000017,playing oboe,AV,False,False,
0Jq6WJLLSIk_000004,baby crying,A,False,False,
0Jq6WJLLSIk_000004,"female speech, woman speaking",A,False,False,
0Jq6WJLLSIk_000004,male speech  man speaking,A,False,False,
0N6S5OoG7Vg_000150,car passing by,AV,False,False,
0N6S5OoG7Vg_000150,fire crackling,AV,False,False,
0N6S5OoG7Vg_000150,fire truck siren,AV,False,False,
0N6S5OoG7Vg_000150,"vehicle horn, car horn, honking",AV,False,False,
0NLXz4JgvcQ_000096,people eating,AV,False,False,
0NLXz4JgvcQ_000096,people eating crisps,V,False,False,
0NZLG7HMiLg_000590,fireworks banging,AV,False,False,
0NZLG7HMiLg_000590,lighting firecrackers,AV,False,False,
0NZLG7HMiLg_000590,people running,V,False,False,
0OFlTh2_Obo_000030,baby babbling,AV,False,False,
0OFlTh2_Obo_000030,baby laughter,AV,False,False,
0OFlTh2_Obo_000030,dog barking,A,False,False,
0OFlTh2_Obo_000030,dog bow-wow,A,False,False,
0OFlTh2_Obo_000030,dog howling,A,False,False,
0OFlTh2_Obo_000030,owl hooting,A,False,False,
0OFlTh2_Obo_000030,people babbling,AV,False,False,
0OH28bnOdEE_000058,"child speech, kid speaking",A,False,False,
0OH28bnOdEE_000058,"female speech, woman speaking",A,False,False,
0OH28bnOdEE_000058,"male speech, man speaking",AV,False,False,
0OH28bnOdEE_000058,people belly laughing,A,False,False,
0OH28bnOdEE_000058,people gargling,AV,False,False,
0OH28bnOdEE_000058,people giggling,A,False,False,
0Olm321vgk8_000030,"female speech, woman speaking",A,False,False,
0Olm321vgk8_000030,male singing,AV,False,False,
0Olm321vgk8_000030,people crowd,AV,False,False,
0Olm321vgk8_000030,playing electric guitar,AV,False,False,
0QYedLfOwcI_000040,"female speech, woman speaking",A,False,False,
0QYedLfOwcI_000040,people farting,A,False,False,
0Rqa18lmDtw_000153,driving motorcycle,AV,False,False,
0Rqa18lmDtw_000153,"engine accelerating, revving, vroom",AV,False,False,
0UJpeR9-ayg_000213,lathe spinning,AV,False,False,
0VW4nelMODc_000271,sloshing water,AV,False,False,
0VW4nelMODc_000271,splashing water,AV,False,False,
0W1En_XsDnM_000000,"male speech, man speaking",AV,False,False,
0W1En_XsDnM_000000,people burping,AV,False,False,
0W1En_XsDnM_000000,people crowd,A,False,False,
0WTf_N9NPDw_000023,,,False,False,
0YIWrXgCjiM_000030,child singing,AV,False,False,
0YIWrXgCjiM_000030,children shouting,AV,False,False,
0YIWrXgCjiM_000030,male singing,AV,False,False,
0YIWrXgCjiM_000030,people cheering,AV,False,False,
0YIWrXgCjiM_000030,people crowd,AV,False,False,
0Z760XNy4VM_000030,"female speech, woman speaking",A,False,False,
0ZxpQ87jdgQ_000037,cattle mooing,AV,False,False,
0ZxpQ87jdgQ_000037,cow lowing,AV,False,False,
0ZxpQ87jdgQ_000037,"male speech, man speaking",A,False,False,
0Zzt2Tf_0Os_000139,,,False,False,
0_B2YnBAz3A_000220,"male speech, man speaking",AV,False,False,
0_B2YnBAz3A_000220,people sneezing,AV,False,False,
0_FFqLukmHk_000080,"female speech, woman speaking",A,False,False,
0_FFqLukmHk_000080,people hiccup,A,False,False,
0_FFqLukmHk_000080,people sobbing,A,False,False,
0a4UPHowiOM_000011,"child speech, kid speaking",AV,False,False,
0a4UPHowiOM_000011,"female speech, woman speaking",A,False,False,
0a4UPHowiOM_000011,people belly laughing,A,False,False,
0a4UPHowiOM_000011,people giggling,A,False,False,
0aaLWD7TUSU_000030,"male speech, man speaking",A,False,False,
0aaLWD7TUSU_000030,"rowboat, canoe, kayak rowing",AV,False,False,
0aaLWD7TUSU_000030,sloshing water,AV,False,False,
0aaLWD7TUSU_000030,splashing water,AV,False,False,
0bJgHzGSqK0_000002,sloshing water,AV,False,False,
0bJgHzGSqK0_000002,splashing water,AV,False,False,
0bKpv6YBl7g_000050,"male speech, man speaking",AV,False,False,
0bobzCB2ObQ_000076,car engine idling,AV,False,False,
0bobzCB2ObQ_000076,"male speech, man speaking",A,False,False,
0d6YdyxkXzQ_000815,ripping paper,AV,False,False,
0dUL0EweBEY_000387,"male speech, man speaking",A,False,False,
0dUL0EweBEY_000423,"male speech, man speaking",A,False,False,
0dd6AlyOnfc_000030,"male speech, man speaking",A,False,False,
0dd6AlyOnfc_000030,pumping water,V,False,False,
0eA2QcSRgh0_000053,dog barking,AV,False,False,
0eA2QcSRgh0_000053,dog baying,A,False,False,
0eA2QcSRgh0_000053,dog bow-wow,AV,False,False,
0eA2QcSRgh0_000053,"male speech, man speaking",A,False,False,
0eDN0YmnJRY_000002,"bird chirping, tweeting",A,False,False,
0eDN0YmnJRY_000002,cheetah chirrup,AV,False,False,
0eDN0YmnJRY_000002,wind noise,A,False,False,
0fsFWLev-q4_000257,"male speech, man speaking",A,False,False,
0he6VV5Y9Bg_000030,car engine idling,V,False,False,
0he6VV5Y9Bg_000030,cricket chirping,A,False,False,
0he6VV5Y9Bg_000030,male speech  man speaking,A,False,False,
0iiwZ2_9Vi8_000090,baby crying,AV,False,False,
0jiu0RNizU8_000160,male singing,AV,False,False,
0jiu0RNizU8_000160,playing piano,A,False,False,
0loP4WNnL2k_000000,,,False,False,
0mkj5A9qg9A_000086,"male speech, man speaking",A,False,False,
0mkj5A9qg9A_000086,people cheering,A,False,False,
0mkj5A9qg9A_000086,people crowd,AV,False,False,
0mkj5A9qg9A_000086,people running,V,False,False,
0n56ajMNoMA_000118,driving snowmobile,AV,False,False,
0n56ajMNoMA_000118,engine accelerating  revving  vroom,A,False,False,
0nvBTp-q7tU_000112,driving motorcycle,AV,False,False,
0nvBTp-q7tU_000112,engine accelerating  revving  vroom,AV,False,False,
0q1zNZNjzaA_000001,underwater bubbling,A,False,False,
0q1zNZNjzaA_000001,whale calling,A,False,False,
0q9FUj_2qMc_000539,hedge trimmer running,AV,False,False,
0qDs_aC0LwI_000005,disc scratching,AV,False,False,
0qDs_aC0LwI_000005,playing synthesizer,A,False,False,
0ssOpzqkojU_000030,playing french horn,A,False,False,
0ssOpzqkojU_000030,playing harpsichord,A,False,False,
0ssOpzqkojU_000030,playing piano,A,False,False,
0t1jQa_Lj_E_000130,arc welding,AV,False,False,
0t1jQa_Lj_E_000130,"male speech, man speaking",A,False,False,
0ut4if4B6zM_000056,"female speech, woman speaking",A,False,False,
0ut4if4B6zM_000056,"male speech, man speaking",A,False,False,
0vXqf9ix8LE_000030,"bird chirping, tweeting",A,False,False,
0vXqf9ix8LE_000030,cricket chirping,A,False,False,
0vXqf9ix8LE_000030,frog croaking,A,False,False,
0vXqf9ix8LE_000030,"male speech, man speaking",A,False,False,
0vXqf9ix8LE_000030,snake hissing,V,False,False,
0w7pCxwXzVc_000120,fire crackling,AV,False,False,
0w7pCxwXzVc_000120,fire truck siren,A,False,False,
0w7pCxwXzVc_000120,"male speech, man speaking",AV,False,False,
0w7pCxwXzVc_000120,people crowd,V,False,False,
0welW-8hB1c_000071,"bird chirping, tweeting",AV,False,False,
0welW-8hB1c_000071,black capped chickadee calling,AV,False,False,
0wzsE67O5tE_000230,playing acoustic guitar,AV,False,False,
0wzsE67O5tE_000230,playing electric guitar,A,False,False,
10Y5oGN2J30_000142,footsteps on snow,AV,False,False,
10aF24rMeu0_000030,engine accelerating  revving  vroom,A,False,False,
10aF24rMeu0_000030,reversing beeps,V,False,False,
10hGfv89L3g_000030,car passing by,AV,False,False,
10hGfv89L3g_000030,"male speech, man speaking",AV,False,False,
12C-RCb6UFw_000430,people crowd,A,False,False,
12C-RCb6UFw_000430,"subway, metro, underground",AV,False,False,
12C-RCb6UFw_000430,train wheels squealing,A,False,False,
13Ij0Y-m7N0_000121,"male speech, man speaking",AV,False,False,
13k0xa_vTFI_000022,blowtorch igniting,AV,False,False,
14jcqHjMXcI_000000,female speech  woman speaking,A,False,False,
14jcqHjMXcI_000000,horse clip-clop,AV,False,False,
14tRPoQA4q0_000004,airplane,V,False,False,
14tRPoQA4q0_000004,baby laughter,AV,False,False,
14tRPoQA4q0_000004,"female speech, woman speaking",AV,False,False,
14tRPoQA4q0_000004,people giggling,A,False,False,
15703UC_0b0_000138,airplane,AV,False,False,
15703UC_0b0_000138,airplane flyby,AV,False,False,
15703UC_0b0_000138,people cheering,A,False,False,
15703UC_0b0_000138,people crowd,A,False,False,
16CvcIXIjzQ_000332,mouse pattering,AV,False,False,
16CvcIXIjzQ_000332,mouse squeaking,AV,False,False,
17CpJxlwzNg_000030,"male speech, man speaking",A,False,False,
17CpJxlwzNg_000030,pumping water,AV,False,False,
17CpJxlwzNg_000030,sloshing water,AV,False,False,
17CpJxlwzNg_000030,splashing water,AV,False,False,
17K-oEuH1p0_000020,people crowd,A,False,False,
17K-oEuH1p0_000020,playing bugle,AV,False,False,
17K-oEuH1p0_000020,playing trumpet,AV,False,False,
17K-oEuH1p0_000020,wind noise,A,False,False,
17cwMjZ3MZs_000113,"engine accelerating, revving, vroom",A,False,False,
17cwMjZ3MZs_000113,wind noise,A,False,False,
17yDXvJTdeo_000603,lip smacking,AV,False,False,
17yDXvJTdeo_000603,people eating,A,False,False,
17yDXvJTdeo_000603,people slurping,A,False,False,
18HRNQyo9mg_000025,cat meowing,AV,False,False,
18HRNQyo9mg_000025,"male speech, man speaking",A,False,False,
18HRNQyo9mg_000025,wind noise,A,False,False,
18r-Vtspi8g_000030,sloshing water,AV,False,False,
18r-Vtspi8g_000030,splashing water,AV,False,False,
18r-Vtspi8g_000030,swimming,AV,False,False,
18r-Vtspi8g_000030,wind noise,A,False,False,
19_c58yNYVw_000010,people whistling,A,False,False,
19_c58yNYVw_000010,sheep bleating,A,False,False,
19_c58yNYVw_000010,thunder,AV,False,False,
19_c58yNYVw_000010,wind noise,A,False,False,
19r6_MQei4M_000119,"bird chirping, tweeting",A,False,False,
19r6_MQei4M_000119,dinosaurs bellowing,AV,False,False,
19r6_MQei4M_000119,wind rustling leaves,V,False,False,
1B-RuZgSqf8_000030,sloshing water,A,False,False,
1B-RuZgSqf8_000030,splashing water,AV,False,False,
1B-RuZgSqf8_000030,spraying water,AV,False,False,
1B0VJf7jRDg_000313,eating with cutlery,AV,False,False,
1B0VJf7jRDg_000313,lip smacking,A,False,False,
1B0VJf7jRDg_000313,people eating,A,False,False,
1B0VJf7jRDg_000313,people slurping,A,False,False,
1BivKH8w7Fo_000037,people booing,A,False,False,
1BivKH8w7Fo_000037,people cheering,A,False,False,
1BivKH8w7Fo_000037,people crowd,A,False,False,
1BivKH8w7Fo_000037,people screaming,A,False,False,
1CRvPsMwqrc_000030,bird squawking,A,False,False,
1CRvPsMwqrc_000030,duck quacking,A,False,False,
1CRvPsMwqrc_000030,"male speech, man speaking",A,False,False,
1CRvPsMwqrc_000030,people giggling,A,False,False,
1CRvPsMwqrc_000030,"rowboat, canoe, kayak rowing",V,False,False,
1CZ-bybGzu4_000030,"female speech, woman speaking",AV,False,False,
1CZ-bybGzu4_000030,people battle cry,AV,False,False,
1CZ-bybGzu4_000030,people crowd,AV,False,False,
1CZ-bybGzu4_000030,people screaming,AV,False,False,
1D6UsaTflJ8_000060,"bird chirping, tweeting",AV,False,False,
1D6UsaTflJ8_000060,bird wings flapping,AV,False,False,
1D6UsaTflJ8_000060,"male speech, man speaking",A,False,False,
1DJYkemV_0I_000101,,,False,False,
1EH6atYydBc_000090,sloshing water,AV,False,False,
1EH6atYydBc_000090,underwater bubbling,AV,False,False,
1ETrMAVZdY8_000030,pheasant crowing,AV,False,False,
1ETrMAVZdY8_000030,"pigeon, dove cooing",AV,False,False,
1EiNSiO0UvU_000000,cricket chirping,A,False,False,
1F3_bvIT0ig_000000,engine accelerating  revving  vroom,A,False,False,
1F3_bvIT0ig_000000,playing drum kit,A,False,False,
1F3_bvIT0ig_000000,"race car, auto racing",AV,False,False,
1FWUnWVX5Xk_000159,baltimore oriole calling,AV,False,False,
1FWUnWVX5Xk_000159,"bird chirping, tweeting",AV,False,False,
1FWUnWVX5Xk_000159,wood thrush calling,AV,False,False,
1FnA3w94zXI_000030,playing banjo,V,False,False,
1FnA3w94zXI_000030,playing electric guitar,AV,False,False,
1GI75yXlrTk_000029,car passing by,AV,False,False,
1GI75yXlrTk_000029,driving motorcycle,AV,False,False,
1GI75yXlrTk_000029,engine accelerating  revving  vroom,AV,False,False,
1GI75yXlrTk_000029,"female speech, woman speaking",AV,False,False,
1GI75yXlrTk_000029,"male speech, man speaking",AV,False,False,
1GI75yXlrTk_000029,people slapping,AV,False,False,
1HUCwslugK8_000283,"male speech, man speaking",AV,False,False,
1HUCwslugK8_000283,"playing marimba, xylophone",AV,False,False,
1HswRpBt6mI_000083,orchestra,AV,False,False,
1HswRpBt6mI_000083,playing tympani,AV,False,False,
1HswRpBt6mI_000083,"playing violin, fiddle",AV,False,False,
1HswRpBt6mI_000083,singing choir,AV,False,False,
1I9s8TxOlaU_000028,people belly laughing,A,False,False,
1I9s8TxOlaU_000028,people eating,AV,False,False,
1I9s8TxOlaU_000028,people eating noodle,AV,False,False,
1I9s8TxOlaU_000028,people slurping,AV,False,False,
